kanji;onyomi;kunyomi;meaning_ru;meaning_en
料;リョー;—;оплата, материал;material, charge
鳥;チョー;とり;птица;bird
林;リン;はやし;роща;woods
肉;ニク;—;мясо, телесный, физический;meat
回;カイ;まわ;раз, вращать;times, occurrences
院;イン;—;учреждение, парламент;institute, establishment
員;イン;—;работник, сотрудник, член;member
弟;テイ;おとうと;младший брат, ученик;younger brother
族;ゾク;—;семья, племя;family, tribe
軽;ケイ;かる、かろ;лёгкий;light (weight)
銀;ギン;—;серебро;silver
転;テン;ころ;катиться, падать, переходить во что-нибудь;to roll, to turn
堂;ドー;—;зал;room, hall, temple
夏;カ;なつ;лето;summer
建;ケン;た;строить;to construct, build
究;キュー;きわ;исследовать;to explore, investigate
弱;ジャク;よわ;слабый;weak, to weaken
研;ケン;と;точить, изучать;to polish, sharpen, wash rice
験;ケン;—;испытывать, проверять, опыт;test, effect
姉;シ;あね;старшая сестра;older sister
写;シャ;うつ;копировать;copy, photograph
犬;ケン;いぬ;собака;dog
寒;カン;さむ;холодный;cold temperature
飯;ハン;めし;еда, варёный рис;meal, cooked rice
医;イ;—;доктор;medicine
森;シン;もり;лес;forest
習;シュー;なら;учиться;to learn
低;テイ;ひく;низкий;low, to lower
映;エイ;うつ、は;отражаться;to project, to glint
英;エイ;—;Англия, талант;brilliant, talented
冬;トー;ふゆ;зима;winter
短;タン;みじか;короткий, недостаток;short
妹;マイ;いもうと;младшая сестра;younger sister
牛;ギュー;うし;корова;cow
便;ベン、ビン;たよ;удобство, почта, выделения;comfort, excrement, message
試;シ;ため、こころ;испытание;to try
昼;チュー;ひる;день (дневное время);noon
薬;ヤク;くすり;лекарство;drug, medicine, chemical
借;シャク;か;брать взаймы;to rent, to borrow
池;チ;いけ;пруд, водоем;pond
洗;セン;あら;мыть, стирать;to wash
区;ク;—;район;city district
曜;ヨー;—;день недели;weekday
漢;カン;—;китайский, суффикс для людей (чаще неодобрительный);China, man
勉;ベン;つと;стараться;hard work, effort
暑;ショ;あつ;жаркий, горячий;hot (temperature)
貸;タイ;か;одалживать;to lend
県;ケン;—;префектура;prefecture
菜;サイ;な;овощи, зелень, закуска;vegetable, rape
