Kanji;Kana;Romaji;Translation
器用;きよう;kiyou;dexterous, skillful
気付く;;kizuku;to notice, to realize
越える;こえる;koeru;to cross over
恋;こい;koi;love
濃い;こい;koi;thick, dense, strong
恋人;こいびと;koibito;lover, sweetheart
恋しい;;koishii;yearned for, missed
個人;こじん;kojin;individual, personal
国家;こっか;kokka;state, country, nation
国会;こっかい;kokkai;National Diet, parliament
国境;こっきょう;kokkyou;national border
黒板;こくばん;kokuban;blackboard
国語;こくご;kokugo;national language
克服;こくふく;kokufuku;conquest, overcoming
国民;こくみん;kokumin;national, citizen
穀物;こくもつ;kokumotsu;grain, cereal
故郷;;kokyou;home town, birthplace
呼吸;こきゅう;kokyuu;breathing, respiration
小麦;こむぎ;komugi;wheat
今後;こんご;kongo;from now on
今回;こんかい;konkai;now, this time
粉;こな;kona;flour, powder
困難;こんなん;konnan;difficulty, distress
今日;;konnichi;this day, these days, recently
好み;このみ;konomi;liking, taste
好む;このむ;konomu;to like, to prefer
混乱;こんらん;konran;disorder, chaos
婚約;こんやく;kon’yaku;engagement, betrothal
混雑;こんざつ;konzatsu;congestion, jam
氷;こおり;koori;ice
凍る;こおる;kooru;to freeze
転ぶ;ころぶ;korobu;to fall down
殺す;ころす;korosu;to kill
腰;こし;koshi;lower back, waist
骨折;こっせつ;kossetsu;bone fracture
異なる;ことなる;kotonaru;to differ, to vary
断る;ことわる;kotowaru;to refuse, to reject
諺;;kotowaza;proverb, maxim
好物;;koubutsu;favourite food​
行動;こうどう;koudou;action, conduct, behavior
講演;こうえん;kouen;lecture, address, speech
幸福;こうふく;koufuku;happiness
攻撃;こうげき;kougeki;attack, strike
公平;こうへい;kouhei;fairness, justice
候補;こうほ;kouho;candidate
後方;;kouhou;behind, in the rear
工事;;kouji;construction work​
効果;こうか;kouka;effect, effectiveness
硬貨;こうか;kouka;coin
高価;こうか;kouka;high price
交換;こうかん;koukan;exchange, interchange
光景;こうけい;koukei;scene, spectacle
貢献;こうけん;kouken;contribution
広告;こうこく;koukoku;advertisement
航空;こうくう;koukuu;aviation, flying
公共;;koukyou;public, community
購入;;kounyuu;purchase, buy
考慮;こうりょ;kouryo;consideration
交流;;kouryuu;(cultural) exchange, networking
交際;こうさい;kousai;association, friendship
構成;こうせい;kousei;organization, composition
高速;こうそく;kousoku;high speed
後者;こうしゃ;kousha;the latter
交通費;;koutsuuhi;traveling expenses
幸運;こううん;kouun;good luck, fortune
小屋;こや;koya;hut, cabin, shed
小包;こづつみ;kozutsumi;parcel, package
配る;;kubaru;to distribute, to hand out
区別;くべつ;kubetsu;distinction, differentiation
工夫;;kufuu;solving ingeniously​
組;くみ;kumi;set, group
組合;くみあい;kumiai;association, union
組み立てる;;kumitateru;to assemble, to set up
曇;;kumori;cloudiness, cloudy weather
曇る;;kumoru;to get cloudy
組む;くむ;kumu;to link, to put together
訓練;くんれん;kunren;practice, training
位;くらい;kurai;rank, class, grade
暮らし;くらし;kurashi;life, living
暮らす;くらす;kurasu;to live
暮れ;くれ;kure;sunset, sundown
繰り返す;くりかえす;kurikaesu;to repeat
苦労;くろう;kurou;troubles, hardships
苦しい;くるしい;kurushii;painful, difficult
苦しむ;くるしむ;kurushimu;to suffer
狂う;くるう;kuruu;to go mad
臭い;くさい;kusai;stinking, smelly
鎖;くさり;kusari;chain
腐る;くさる;kusaru;to rot, to go bad
癖;くせ;kuse;habit
苦痛;くつう;kutsuu;pain, agony
加える;くわえる;kuwaeru;to add, to sum up
詳しい;くわしい;kuwashii;detailed
加わる;くわわる;kuwawaru;to be added to
句;く;ku;sentence, passage
食う;くう;kuu;to eat
悔しい;;kuyashii;annoying, frustrating
巨大;きょだい;kyodai;huge, gigantic
許可;きょか;kyoka;permission, approval
局;きょく;kyoku;bureau, department
距離;;kyori;distance, range​
強調;きょうちょう;kyouchou;emphasis, highlight
共同;きょうどう;kyoudou;doing together, joint
恐怖;きょうふ;kyoufu;fear, dread, dismay
競技;きょうぎ;kyougi;game, match
競合;;kyougou;competition, rivalry
教授;きょうじゅ;kyouju;professor
教科書;きょうかしょ;kyoukasho;textbook
供給;きょうきゅう;kyoukyuu;supply, provision
協力;きょうりょく;kyouryoku;cooperation
強力;きょうりょく;kyouryoku;powerful, strong
教師;きょうし;kyoushi;teacher (classroom)
共通;きょうつう;kyoutsuu;commonness, community
共通点;;kyoutsuuten;point in common, common feature​
級;きゅう;kyuu;class (school, grade, rank
急に;きゅうに;kyuu ni;swiftly, rapidly
急激;きゅうげき;kyuugeki;sudden, radical
休日;;kyuujitsu;holiday, day off​
救助;きゅうじょ;kyuujo;relief, aid
休暇;きゅうか;kyuuka;holiday, day off
休憩;きゅうけい;kyuukei;rest, break, recess
給料;きゅうりょう;kyuuryou;salary, wages
吸収;きゅうしゅう;kyuushuu;absorption
急速;きゅうそく;kyuusoku;rapid (progress)
眩しい;;mabushii;dazzling, radiant​
間違い;まちがい;machigai;mistake, error, blunder
間違う;;machigau;to make a mistake
窓口;;madoguchi;ticket window, counter
孫;まご;mago;grandchild
迷子;まいご;maigo;lost child, lost person
任せる;まかせる;makaseru;to entrust, to leave to
負け;まけ;make;defeat, loss
幕;まく;maku;curtain
豆;まめ;mame;beans
守る;まもる;mamoru;to protect, to guard
学ぶ;まなぶ;manabu;to study, to learn
真似;まね;mane;imitating, copying
招く;まねく;maneku;to invite, to ask
万一;まんいち;man’ichi;by some chance
満点;;manten;perfect score, full marks​
満足;まんぞく;manzoku;satisfaction, contentment
丸;まる;maru;circle
真逆;;masaka;by no means, never
正に;;masa ni;exactly, surely
増す;ます;masu;to increase, to grow
回り;まわり;mawari;rotation
回す;まわす;mawasu;to turn, to rotate
迷う;;mayou;to lose one’s way
先ず;;mazu;first of all, to start with
混ぜる;;mazeru;to mix, to stir
貧しい;まずしい;mazushii;poor
命じる;めいじる;meijiru;to order, to command
明確;めいかく;meikaku;clear, precise
命令;めいれい;meirei;order, command
迷惑;めいわく;meiwaku;trouble, bother, annoyance
面;めん;men;face, mask
綿;めん;men;cotton
面倒;めんどう;mendou;trouble, care
免許;めんきょ;menkyo;license, permit
免許証;;menkyoshou;license, permit
面接;;mensetsu;interview (e.g. for a job)​
飯;めし;meshi;cooked rice, meal
目覚まし時計;;mezamashidokei;alarm clock​
身;み;mi;body, oneself
実;み;mi;fruit, nut
身につける;;mi ni tsukeru;to learn\; to acquire knowledge​
満ちる;みちる;michiru;to be full
身近;;midjika;near oneself, close to one
見事;みごと;migoto;splendid, magnificent
味方;みかた;mikata;friend, ally
見舞い;みまい;mimai;visiting ill or distressed people
未満;;miman;less than, insufficient​
見送り;みおくり;miokuri;seeing one off
見送る;;miokuru;to see someone off
未来;みらい;mirai;the future
魅力;みりょく;miryoku;charm, fascination
認める;みとめる;mitomeru;to accept, to admit
見つめる;;mitsumeru;to stare at, to gaze at
土産;みやげ;miyage;present, souvenir
都;みやこ;miyako;capital, metropolis
持上げる;;mochiageru;to elevate, to raise
持ち運び;;mochihakobi;carrying
用いる;もちいる;mochiiru;to use, to make use of
持ち物;;mochimono;personal effects, one’s belongings​
戻す;もどす;modosu;to put back, to give back
燃える;もえる;moeru;to burn, to get fired up
文字;もじ;moji;letter (of alphabet)
目標;もくひょう;mokuhyou;objective, target
目的;もくてき;mokuteki;goal, purpose, aim
文句;もんく;monku;complaint, grumbling
者;もの;mono;person
物語;ものがたり;monogatari;tale, story
物事;ものごと;monogoto;things, everything
物音;ものおと;monooto;sounds
盛り;さかり;mori;serving, helping
元;もと;moto;origin, source, base
求める;もとめる;motomeru;to want, to wish for
最も;もっとも;mottomo;most, extremely
毛布;もうふ;moufu;blanket
申し込み;;moushikomi;application, entry
申込書;;moushikomisho;application form
申し込む;もうしこむ;moushikomu;to apply for
申し訳;もうしわけ;moushiwake;apology, excuse
模様;もよう;moyou;pattern, design
夢中;むちゅう;muchuu;daze, ecstasy
無駄;むだ;muda;futility, uselessness
迎え;むかえ;mukae;meeting, greeting
向かい;;mukai;facing, opposite
向ける;むける;mukeru;to turn toward, to point
向く;むく;muku;to face, to turn toward
剥く;;muku;to peel, to skin
胸;むね;mune;chest, breast
無料;むりょう;muryou;free, no charge
無視;むし;mushi;disregarding, ignoring
虫歯;むしば;mushiba;cavity, tooth decay
結ぶ;むすぶ;musubu;to tie, to bind
妙;みょう;myou;strange, unusual
名;な;na;name, given name
鍋;なべ;nabe;saucepan, pot
撫でる;;naderu;to stroke, to caress
長生き;;nagaiki;longevity, long life​
眺め;ながめ;nagame;view, scene, prospect
眺める;ながめる;nagameru;to view, to gaze at
流れ;ながれ;nagare;stream, current, flow
流れる;ながれる;nagareru;to stream, to flow
流す;ながす;nagasu;to drain, to shed
慰める;;nagusameru;to comfort, to console
内緒;;naisho;secrecy, confidentiality
内容;ないよう;naiyou;contents, matter
仲;なか;naka;relation, relationship
半ば;なかば;nakaba;middle, half
仲間;なかま;nakama;fellow, companion
中身;;nakami;contents, interior
仲直り;;nakanaori;reconciliation, make peace with​
生;なま;nama;raw, uncooked
怠ける;なまける;namakeru;to be idle
波;なみ;nami;wave
涙;なみだ;namida;tears
直;なお;nao;straight, ordinary, common
情けない;;nasakenai;miserable, pitiable
納得;なっとく;nattoku;consent, assent
懐かしい;;natsukashii;missed, nostalgic​
縄;なわ;nawa;rope, cord
悩む;なやむ;nayamu;to be worried
謎;なぞ;nazo;riddle, puzzle, mystery
根;ね;ne;root, source, origin
熱中;ねっちゅう;necchuu;going nuts (over something)
値段;;nedan;price, cost
願い;ねがい;negai;desire, wish
願う;ねがう;negau;to desire, to wish
年代;ねんだい;nendai;age, era, period
年中;ねんじゅう;nenjuu;whole year, all year round
年間;ねんかん;nenkan;years (period of)
年齢;ねんれい;nenrei;age, years
熱帯;ねったい;nettai;tropics
鼠;;nezumi;mouse, rat
似合う;にあう;niau;to suit, to match
日常;にちじょう;nichijou;ordinary, everyday
日中;にっちゅう;nicchuu;daytime, during the day
日時;;nichiji;date and time​
日夜;;nichiya;day and night, always, constantly
苦手;にがて;nigate;poor at, weak in
握る;にぎる;nigiru;to grip, to grasp
日本;にほん;nihon;Japan
日光;にっこう;nikkou;sunlight
人間;にんげん;ningen;human being, person
人気;にんき;ninki;popularity
人数;;ninzuu;the number of people​
日程;;nittei;schedule, program
野;の;no;plain, field
伸ばす;のばす;nobasu;to grow long
述べる;のべる;noberu;to state, to express
伸びる;のびる;nobiru;to stretch, to extend
軒;けん;noki;eaves
残り;のこり;nokori;remnant, residue
残す;のこす;nokosu;to leave (behind)
乗せる;のせる;noseru;to place on
能;のう;nou;talent, gift, function
農業;のうぎょう;nougyou;agriculture
農家;のうか;nouka;farmer, farm family
農民;のうみん;noumin;farmers, peasants
能力;のうりょく;nouryoku;ability
除く;のぞく;nozoku;to exclude, to except
望み;のぞみ;nozomi;hope, desire, wish
望む;のぞむ;nozomu;to desire, to wish for
抜ける;ぬける;nukeru;to come out, to fall out
抜く;ぬく;nuku;to extract, to omit
布;ぬの;nuno;cloth
入学;;nyuugaku;matriculation
入院;;nyuuin;hospitalization
入場;にゅうじょう;nyuujou;entrance, admission
入力;;nyuuryoku;input, (data) entry​
入社;;nyuusha;joining a company
溺れる;;oboreru;to drown
帯;おび;obi;obi, kimono sash
落ち着く;;ochitsuku;to calm down, to compose oneself
穏やか;おだやか;odayaka;calm, gentle, quiet
終える;おえる;oeru;to finish
老い;おい;oi;old age, old person
丘;おか;oka;hill, height
沖;おき;oki;open sea
起こる;おこる;okoru;to occur, to happen
奥;おく;oku;inner part
贈る;おくる;okuru;to give (as a gift)
主に;おもに;omo ni;mainly, primarily
思い出;おもいで;omoide;memories
思わず;おもわず;omowazu;unintentionally
恩;おん;on;favor, debt of gratitude
温暖;おんだん;ondan;warm, mild
温度;おんど;ondo;temperature
鬼;おに;oni;demon
温泉;;onsen;hot spring​
追い付く;;oitsuku;to catch up with
大雨;;ooame;heavy rain​
大型;;oogata;large, larged-size
大いに;おおいに;ooi ni;very, much, greatly
覆う;おおう;oou;to cover, to conceal
大家;;ooya;landlord, landlady
大雪;;ooyuki;heavy snow​
下す;;orosu;to lower, to drop
降ろす;;orosu;to take down, to unload
収める;おさめる;osameru;to dedicate, to supply
幼い;おさない;osanai;very young, childish
抑える;;osaeru;to restrain, to control
汚染;おせん;osen;pollution, contamination
劣る;おとる;otoru;to be inferior to
恐らく;;osoraku;perhaps, likely
恐れる;おそれる;osoreru;to fear, to be afraid of
恐ろしい;おそろしい;osoroshii;terrible, dreadful
追う;おう;ou;to chase, to run after
応募;;oubo;application, enlistment
応援;;ouen;aid, assistance, help
往復;;oufuku;making a round trip
王/王様;;ou/ousama;king, ruler
横断;おうだん;oudan;crossing, traverse
王子;おうじ;ouji;prince
応じる;おうじる;oujiru;to respond, to comply
応用;;ouyou;putting to practical use​
終;;owari;the end
及ぼす;およぼす;oyobosu;to exert, to cause
泳ぎ;およぎ;oyogi;swimming
凡そ;;oyoso;about, roughly
楽;らく;raku;comfort, ease
例;れい;rei;example, case
礼儀;れいぎ;reigi;manners, courtesy
冷静;れいせい;reisei;calm, composure
連絡先;;renrakusaki;contact address​
練習;;renshuu;practice, practicing
連想;れんそう;rensou;association of ideas
連続;れんぞく;renzoku;serial, consecutive
列車;れっしゃ;ressha;train (ordinary)
列;れつ;retsu;queue, line
利益;りえき;rieki;profit, gains
理解;りかい;rikai;understanding, comprehension
離婚;りこん;rikon;divorce
利口;りこう;rikou;clever, intelligent
立派;;rippa;splendid, fine
理想;りそう;risou;ideal
率;りつ;ritsu;rate, ratio
利用者;;riyousha;user, consumer​
論文;ろんぶん;ronbun;thesis, essay
論じる;ろんじる;ronjiru;to argue, to debate
論争;ろんそう;ronsou;controversy, dispute
労働;ろうどう;roudou;manual labor, work
老人;ろうじん;roujin;the aged, old person
量;りょう;ryou;quantity, amount
両替;りょうがえ;ryougae;change, money exchange
料金;りょうきん;ryoukin;fee, charge, fare
領収書;;ryoushuusho;hand-written receipt​
留学;りゅうがく;ryuugaku;studying abroad
流行;りゅうこう;ryuukou;fashion, vogue
差;さ;sa;difference, variation
砂漠;さばく;sabaku;desert
差別;さべつ;sabetsu;discrimination
作業;さぎょう;sagyou;work, operation
作法;さほう;sahou;manners, etiquette
裁判;さいばん;saiban;trial, judgement
最上;;saijou;best
参加者;;sankasha;participant, entrant​
最高;さいこう;saikou;highest, supreme
才能;さいのう;sainou;talent, ability
最終;さいしゅう;saishuu;last, final
最低;さいてい;saitei;least, lowest, worst
幸い;さいわい;saiwai;happiness, luckily
境;さかい;sakai;border, boundery
逆らう;さからう;sakarau;to go against, to oppose
盛り;さかり;sakari;peak, height
叫ぶ;さけぶ;sakebu;to shout, to cry
避ける;さける;sakeru;to avoid, to ward off
作家;さっか;sakka;author, writer
作曲;さっきょく;sakkyoku;composition
作品;さくひん;sakuhin;work, production
作物;さくもつ;sakumotsu;produce, crops
桜;さくら;sakura;cherry blossom
覚ます;さます;samasu;to awaken
覚める;さめる;sameru;to wake up
様々;さまざま;samazama;varied, various
参加;さんか;sanka;participation
参考;さんこう;sankou;reference, consultation
賛成;さんせい;sansei;approval, agreement
酸素;さんそ;sanso;oxygen
更に;;sara ni;furthermore, again
去る;さる;saru;to leave, to go away
猿;;saru;monkey
支える;ささえる;sasaeru;to support, to prop
誘う;さそう;sasou;to invite, to call for
指す;さす;sasu;to point, to indicate
偖;;sate;well, now, then
札;さつ;satsu;note, paper money
騒ぎ;さわぎ;sawagi;uproar, disturbance
左右;さゆう;sayuu;left and right, control
正;せい;sei;true, regular
性;せい;sei;gender
所為;;sei;consequence, result, blame
製;;sei;-made, make​
性別;;seibetsu;gender
生物;せいぶつ;seibutsu;living things
成長;せいちょう;seichou;growth, grow to adulthood
制度;せいど;seido;system, institution
政府;せいふ;seifu;government, administration
制服;;seifuku;uniform
制限;せいげん;seigen;restriction, restraint
製品;せいひん;seihin;manufactured goods
政治家;;seijika;politician, statesman​
成人;せいじん;seijin;adult
正常;;seijou;normalcy, normality
正解;;seikai;correct, right
性格;せいかく;seikaku;character, personality
正確;せいかく;seikaku;accurate, punctual
清潔;せいけつ;seiketsu;clean, sanitary
世紀;せいき;seiki;century, era
成功;せいこう;seikou;success, hit
請求;せいきゅう;seikyuu;claim, demand, charge
生命;せいめい;seimei;life, existence
青年;せいねん;seinen;youth, young man
整理;せいり;seiri;sorting, arrangement
生産;;seisan;production, manufacture
成績;せいせき;seiseki;results, grade
正式;せいしき;seishiki;official, formality
精神;せいしん;seishin;spirit, heart, mind
精々;;seizei;at the most, at best
製造;せいぞう;seizou;manufacture, production
世間;せけん;seken;world, society
咳;せき;seki;cough
責任;せきにん;sekinin;duty, responsibility
石炭;せきたん;sekitan;coal
石油;せきゆ;sekiyu;oil, petroleum
設計;せっけい;sekkei;plan, design, layout
積極的;せっきょくてき;sekkyokuteki;assertive, positive
責める;せめる;semeru;to blame, to condemn
宣伝;;senden;publicity, advertisement
先日;せんじつ;senjitsu;the other day
専攻;せんこう;senkou;major subject
専門;;senmon;specialty, area of expertise​
専門家;;senmonka;specialist, expert
選手;せんしゅ;senshu;player, team member
選択;せんたく;sentaku;selection, choice
説;せつ;setsu;theory
設備;せつび;setsubi;equipment, device
説明会;;setsumeikai;information session, briefing
節約;せつやく;setsuyaku;economizing, saving
喋る;;shaberu;to talk, to chat
車道;;shadou;roadway
社員;;shain;company employee​
借金;しゃっきん;shakkin;debt, loan, liabilities
詩;し;shi;poem
幸せ;しあわせ;shiawase;happiness, good fortune
芝居;しばい;shibai;play, drama
芝生;しばふ;shibafu;lawn
縛る;;shibaru;to tie, to bind, to fasten​
屡々;;shibashiba;often, again and again
死亡;しぼう;shibou;death, mortality
次第に;;shidai ni;gradually, in sequence
指導;しどう;shidou;leadership, guidance
指導者;;shidousha;leader, guide
刺激;しげき;shigeki;stimulus, impetus
資源;しげん;shigen;resources
支配;しはい;shihai;domination, rule
支払い;しはらい;shiharai;payment
支払う;しはらう;shiharau;to pay
始発;;shihatsu;first train, first bus
資本;しほん;shihon;funds, capital
詩人;しじん;shijin;poet
然も;;shika mo;moreover, furthermore
式;しき;shiki;equation, ceremony, style
頻りに;;shikiri ni;frequently, repeatedly
湿気;;shikke;moisture, humidity, dampness​
支給;しきゅう;shikyuu;provision, supply
姉妹;しまい;shimai;sisters
仕舞う;;shimau;to finish, to stop
締め切り;;shimekiri;deadline, closing
占める;しめる;shimeru;to occupy, to hold
締める;;shimeru;to tie, to fasten, to tighten
示す;しめす;shimesu;to show, to indicate
霜;しも;shimo;frost
品;ひん;shina;article, item, goods
身長;しんちょう;shinchou;height (of body), stature
慎重;しんちょう;shinchou;careful, cautious, prudent
進学;しんがく;shingaku;entering a higher-level school
信号;しんごう;shingou;signal, traffic light
信じる;しんじる;shinjiru;to believe, to trust
新幹線;;shinkansen;Shinkansen, bullet train​
神経;しんけい;shinkei;nerve, sensitivity
真剣;しんけん;shinken;seriousness, earnestness
深刻;しんこく;shinkoku;serious, severe
信仰;しんこう;shinkou;faith, belief
信念;;shinnen;belief, faith, conviction
新入生;;shinnyuusei;new student, freshman
審判;しんぱん;shinpan;refereeing, trial
進歩;しんぽ;shinpo;progress, advance
信頼;しんらい;shinrai;reliance, trust
心理;しんり;shinri;state of mind, mentality
森林;;shinrin;forest, woods​
診察;しんさつ;shinsatsu;medical examination
親戚;しんせき;shinseki;relative, relation
新鮮;しんせん;shinsen;fresh
信用;しんよう;shin’you;confidence, credit
親友;しんゆう;shin’yuu;close friend
心臓;しんぞう;shinzou;heart, guts, nerve
調べ物;;shirabemono;matter to be checked or investigated​
知らせ;しらせ;shirase;news, notice
尻;しり;shiri;buttocks, bottom
知り合い;;shiriai;acquaintance
知り合う;;shiriau;to get to know (someone)
城;しろ;shiro;castle
印;しるし;shirushi;seal, stamp, mark
資料;;shiryou;materials, data, document​
姿勢;;shisei;posture, attitude
試食;;shishoku;sampling food​
支出;ししゅつ;shishutsu;expenditure
思想;しそう;shisou;thought, idea
舌;した;shita;tongue
従う;したがう;shitagau;to abide (by the rules)
親しい;したしい;shitashii;intimate, close
指定;;shitei;assignment, appointment
支店;してん;shiten;branch office
質;しつ;shitsu;quality, value
失望;しつぼう;shitsubou;disappointment, despair
湿度;;shitsudo;level of humidity​
失業;しつぎょう;shitsugyou;unemployment
室内;;shitsunai;indoor, inside the room​
市役所;;shiyakusho;municipal office, city hall​
使用;しよう;shiyou;use, application
自然;しぜん;shizen;nature, natural
沈む;しずむ;shizumu;to sink, to go under
食器;;shokki;tableware
職;しょく;shoku;job, work, employment
職場;;shokuba;place of work, workplace
植物;しょくぶつ;shokubutsu;plant, vegetation
職業;しょくぎょう;shokugyou;occupation, business
食品;しょくひん;shokuhin;food, foodstuff
食物;しょくもつ;shokumotsu;food, foodstuff
食卓;しょくたく;shokutaku;dining table
食欲;しょくよく;shokuyoku;appetite (for food)
食料;しょくりょう;shokuryou;food
食糧;しょくりょう;shokuryou;provisions, food supply
署名;しょめい;shomei;signature
書物;しょもつ;shomotsu;books
処理;しょり;shori;processing, dealing with
書類;しょるい;shorui;documents, official papers
書斎;しょさい;shosai;study, library
章;しょう;shou;chapter, section
賞;しょう;shou;prize, award
商売;しょうばい;shoubai;trade, business
消防;しょうぼう;shoubou;fire fighting
承知;しょうち;shouchi;knowledge, awareness
障害;しょうがい;shougai;obstacle, impediment
奨学金;しょうがくきん;shougakukin;scholarship
小学生;;shougakusei;primary school student
正午;しょうご;shougo;noon, midday
消費;しょうひ;shouhi;consumption, expenditure
商品;しょうひん;shouhin;commodity, goods
正直;しょうじき;shoujiki;honesty, integrity
生じる;しょうじる;shoujiru;to produce, to yield
少女;しょうじょ;shoujo;little girl, young lady
症状;しょうじょう;shoujou;symptoms, condition
証明;しょうめい;shoumei;proof, verification
少年;しょうねん;shounen;boy, juvenile
商人;しょうにん;shounin;trader, merchant
承認;しょうにん;shounin;recognition, acknowledgement
小説家;;shousetsuka;novelist, fiction writer​
少々;しょうしょう;shoushou;just a minute
衝突;しょうとつ;shoutotsu;collision, crash
出張;;shucchou;official tour, business trip
主張;しゅちょう;shuchou;claim, insistence
手段;しゅだん;shudan;means, way, measure
主婦;しゅふ;shufu;housewife, mistress
主義;しゅぎ;shugi;principle, rule, doctrine
手術;しゅじゅつ;shujutsu;surgical operation
瞬間;しゅんかん;shunkan;moment, instant, second
出勤;;shukkin;going to work, leaving for work
縮小;;shukushou;reduction, curtailment​
種類;しゅるい;shurui;variety, kind, type
首相;しゅしょう;shushou;Prime Minister
首都;しゅと;shuto;capital city
宿泊;しゅくはく;shukuhaku;lodging
出版;しゅっぱん;shuppan;publication
主要;しゅよう;shuyou;chief, main, principle
出身;しゅっしん;shusshin;person’s origin
集中;しゅうちゅう;shuuchuu;concentration
集団;しゅうだん;shuudan;group, mass
集合;;shuugou;gathering, assembly, meeting​
周囲;しゅうい;shuui;surroundings, environs
収穫;しゅうかく;shuukaku;harvest, crop
週間;しゅうかん;shuukan;week
週刊;;shuukan;weekly publication​
宗教;しゅうきょう;shuukyou;religion
週末;;shuumatsu;weekend
収入;しゅうにゅう;shuunyuu;income, revenue
修理;しゅうり;shuuri;repairing, mending
終了;;shuuryou;end, close, termination​
修正;しゅうせい;shuusei;amendment, correction
就職;しゅうしょく;shuushoku;finding employment
終点;;shuuten;terminus, last stop (e.g. train)​
育つ;そだつ;sodatsu;to be raised
袖;そで;sode;sleeve
祖父母;;sofubo;grandparents
底;そこ;soko;bottom, sole
速度;そくど;sokudo;speed, velocity
粗末;そまつ;somatsu;rude, rough, plain
損;そん;son;loss, disadvantage
備える;そなえる;sonaeru;to furnish, to provide for
尊重;そんちょう;sonchou;respect, esteem
損害;そんがい;songai;damage, injury, loss
尊敬;そんけい;sonkei;respect, esteem
存在;そんざい;sonzai;existence, being
夫々;;sorezore;each, respectively​
注ぐ;そそぐ;sosogu;to pour into, to fill
組織;そしき;soshiki;organization
装置;そうち;souchi;equipment, installation
早朝;;souchou;early morning
掃除機;;soujiki;vacuum cleaner​
騒音;そうおん;souon;noise
操作;そうさ;sousa;operation, management
早退;;soutai;leaving early​
相当;そうとう;soutou;considerable, suitable
相続;そうぞく;souzoku;succession, inheritance
想像;そうぞう;souzou;imagination, guess
巣;す;su;nest, hive
全て;;subete;everything, all
末;すえ;sue;tip, top, end, close
姿;すがた;sugata;figure, form, shape
筋;すじ;suji;muscle
過ごす;すごす;sugosu;to pass (time)
優れる;すぐれる;sugureru;to surpass, to excel
水準;すいじゅん;suijun;level, standard
睡眠;すいみん;suimin;sleep
推薦;すいせん;suisen;recommendation, referral
救う;すくう;sukuu;to rescue from
済ませる;すませる;sumaseru;to finish
鋭い;するどい;surudoi;sharp, pointed
進める;すすめる;susumeru;to advance, to promote
勧める;すすめる;susumeru;to recommend
素敵;すてき;suteki;lovely, beautiful
数字;すうじ;suuji;numeral, figure, digit
束;たば;taba;bundle, bunch
旅;たび;tabi;travel, trip, journey
度々;;tabitabi;often, again and again
多分;;tabun;perhaps, probably
立場;たちば;tachiba;standpoint, position
立上る;;tachiagaru;to stand up
唯;;tada;ordinary, free of charge
直ちに;ただちに;tadachi ni;at once, immediately
互い;たがい;tagai;mutual, reciprocal
態度;たいど;taido;attitude, manner
大半;たいはん;taihan;majority, more than half
逮捕;たいほ;taiho;arrest, apprehension
体育;たいいく;taiiku;physical education
体育館;;taiikukan;gymnasium
体重;;taijuu;(body) weight​
大会;たいかい;taikai;convention, tournament
大気;たいき;taiki;atmosphere
退屈;たいくつ;taikutsu;tedium, boredom
体温;たいおん;taion;body temperature
平ら;たいら;taira;flatness, level
大陸;たいりく;tairiku;continent
体力;;tairyoku;physical strength, stamina
大量;;tairyou;large quantity, mass
大戦;たいせん;taisen;great war, great battle
大使;たいし;taishi;ambassador
大した;たいした;taishita;considerable, great
対象;たいしょう;taishou;target, object
体操;;taisou;gymnastics, physical exercises
対する;たいする;tai suru;to face (each other)
大抵;;taitei;mostly, usually
太陽;たいよう;taiyou;sun, solar
滞在;たいざい;taizai;staying, sojourn
宝;たから;takara;treasure
弾;;tama;ball, sphere, globe, bullet
貯まる;;tamaru;to be saved up (of money)​
偶々;;tamatama;casually, unexpectedly
貯める;;tameru;to save up (money)
試し;ためし;tameshi;trial, test
試す;ためす;tamesu;to try out, to test
種;たね;tane;seed, kind, variety
単語;たんご;tango;word, vocabulary
谷;たに;tani;valley
単位;たんい;tan’i;unit, denomination
短気;;tanki;quick temper, short temper​
他人;たにん;ta’nin;another person, others
単なる;たんなる;tannaru;mere, simple, sheer
単に;たんに;tan ni;simply, merely
誕生;たんじょう;tanjou;birth, creation
単純;たんじゅん;tanjun;simplicity, simple
楽しむ;;tanoshimu;to enjoy (oneself)​
担当;たんとう;tantou;being in charge
倒す;たおす;taosu;to bring down
確かめる;たしかめる;tashikameru;to ascertain, to check
多少;たしょう;tashou;more or less, somewhat
達する;たっする;tassuru;to reach, to get to
助ける;たすける;tasukeru;to save, to rescue
戦い;たたかい;tatakai;battle, fight
戦う;たたかう;tatakau;to fight, to struggle
叩く;たたく;tataku;to strike, to beat
縦;;tate;the vertical, height
立て直す;;tatenaosu;to restore, to revive
経つ;たつ;tatsu;to pass, to lapse
便り;たより;tayori;news, tidings
頼る;たよる;tayoru;to rely on
提案;ていあん;teian;proposal, suggestion
停電;;teiden;power outage, blackout
程度;ていど;teido;degree, amount
定期;ていき;teiki;fixed period, fixed term
抵抗;ていこう;teikou;resistance, opposition
停留所;ていりゅうじょ;teiryuujou;bus stop, tram stop
停車;;teisha;stopping (of a train, car, etc.)
定食;;teishoku;set meal
提出;ていしゅつ;teishutsu;to present, to submit
手品;てじな;tejina;sleight of hand, magic
敵;てき;teki;opponent, rival
適する;てきする;teki suru;to fit, to suit
適度;てきど;tekido;moderate
適切;てきせつ;tekisetsu;adequate, appropriate
